,tasty,name,price,target,category,coffee
51,꽃향기&과일,콜롬비아 히든셀렉션 허니 로즈,"24,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '프렌치프레스', '에어로프레스', '블랙 그대로']","['콜롬비아', 'Cortina de Hierro', 'Genova, Quindio, Cortina de Hierro', 'Castillo']"
52,달콤&밸런스,콜롬비아 우일라 리브레 셀렉션 디카페인,"15,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '약한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['콜롬비아', '우일라 지역 소농', '우일라, 아쎄베도 & 피탈리토', '카스티요, 콜롬비아, 카투라']"
53,달콤&긴여운,콜롬비아 게이샤 카보닉 메서레이션,"43,500원
200g","['3일 내 볶은 원두만 배송', '강한 산미', '싱글 오리진', '라이트 로스팅', '공정 무역', '직접 무역']","['핸드드립', '에어로프레스', '블랙 그대로']","['콜롬비아', '핀카 라 플로르', '콜롬비아', 'Geisha']"
54,화사한&꽃향기,파나마 게이샤 내추럴,"43,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅', '직접 무역', '공정 무역']","['핸드드립', '에어로프레스', '블랙 그대로']","['파나마', '핀카 라 반구아르디아', '파나마', '게이샤']"
55,과일&풍부한,코스타리카 라스 라하스,"20,000원
250g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅']",[],"['코스타리카', '라스 라하스', '센트럴 밸리 사바닐라 데 알라후엘라', '카투라, 카투아이']"
56,견과류&묵직한,콜롬비아 산 어구스틴 디카페인,"13,000원
250g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '싱글 오리진', '다크 로스팅']",[],"['콜롬비아', '산 어구스틴']"
57,밸런스&과일,에티오피아 이디도,"15,000원
250g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']",[],"['에티오피아', '이디도 이르가체페', '에티오피아 고유 품종']"
58,과일&밸런스,헤이데이 블렌드,"13,000원
250g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '라이트 미디엄 로스팅']",[],"['콜롬비아 라 플라타 AA+', '에티오피아 뱅코 미치차']"
59,초콜릿&고소,올드스쿨(Old School),"12,000원
200g","['3일 내 볶은 원두만 배송', '약한 산미', '블렌드', '다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['Ethiopia Hambela', 'India Mysore Nuggets', 'Brazil Fedra Blanca']"
60,밸런스&견과류,모노그램(Mono Gram),"13,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['Guatemala Huehuetenango Waykan', 'Ethiopia Buku Abel', 'Brazil Pocos de Caldas', 'Kenya Nyeri AA']"
61,달콤&화사한,송버드(Song Bird),"14,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']","['Guatemala Huehuetenango Waykan', 'Etiopia Buku Abel (Natual)']"
62,고소&초콜릿,과테말라 타후무코 워시드,"16,000원
150g","['3일 내 볶은 원두만 배송', '약한 산미', '싱글 오리진', '미디엄 다크 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['Tajumuco, Huehuetenango', 'Bourbon, Pache, Caturra']"
63,달콤&부드러운,온두라스 엘 미라도르 파라이네마 워시드,"16,000원
150g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['온두라스', 'El Mirador', 'San Augustin, Trojes, El paraiso', '파라이네마']"
64,상큼&과일,에티오피아 시다마 파피초 마이크로 내추럴,"17,000원
150g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', 'Bombe village, Sidama Region', '74110, 74112']"
65,밸런스&달콤,싱글네임 와이칸,"14,000원
200g","['3일 내 볶은 원두만 배송', '산미가 없어요', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['과테말라 후에후에테낭고 와이칸']
66,견과류&초콜릿,시그니처 블랜드 000 디카페인,"14,000원
200g","['3일 내 볶은 원두만 배송', '디카페인', '산미가 없어요', '블렌드', '미디엄 다크 로스팅']","['에스프레소머신', '모카포트', '커피메이커', '블랙 그대로', '우유 넣은 라떼']",['과테말라 안티구아 Co2 디카페인 SHB']
67,꽃향기&화사한,에티오피아 넨세보 레피사 워시드,"19,500원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', 'Oromia, West Arsi', 'Welisho, Kurume, 74110&74112']"
68,과일&풍부한,에티오피아 워테 콩가 내츄럴,"19,500원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '싱글 오리진', '라이트 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['에티오피아', 'Gedeo, Yirgacheffe', 'Welisho, Kurume, 74110&74112']"
69,달콤&과일,시그니처 블랜드 언타이틀드,"13,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '블랙 그대로', '우유 넣은 라떼']",['에피오피아 코케허니 예가체프 G1']
70,과일&달콤,시그니처 블랜드 타이틀드,"13,000원
200g","['3일 내 볶은 원두만 배송', '가벼운 산미', '블렌드', '미디엄 로스팅']","['에스프레소머신', '모카포트', '블랙 그대로', '우유 넣은 라떼']","['과테말라 안티구아 프리미엄 SHB', '탄자니아 킬리만자로 맘세라', '인도네시아 만델링']"
71,상큼&풍부한,케냐 티리쿠 AA 워시드,"20,000원
200g","['3일 내 볶은 원두만 배송', '새콤한 산미', '싱글 오리진', '미디엄 로스팅']","['핸드드립', '커피메이커', '블랙 그대로']","['케냐', 'Thiriku Coffee Famers Cooperative', 'Nyeri', 'SL28']"
